Tesisat;T1;T2;T3;RI;RC;;;;;;;;;
23851888;"122,840 ";"12,258 ";"15,825 ";"0,000 ";"0,000 ";;;;;;;;;
700384912;"4248,073 ";"2538,570 ";"3456,201 ";"0,000 ";"0,000 ";;;;;;;;;
23623075;"5806,296 ";"670,051 ";"88,760 ";"0,000 ";"0,000 ";;;;;;;;;
23851736;"5793,863 ";"3318,315 ";"3368,337 ";"0,000 ";"0,000 ";;;;;;;;;
23901591;"2254,092 ";"1333,526 ";"1822,217 ";"67,395 ";"1206,809 ";;;;;;;;;
22811242;"8188,000 ";"4898,000 ";"6999,000 ";"0,000 ";"0,000 ";;;;;;;;;
23846995;"62,102 ";"59,526 ";"18,334 ";"0,000 ";"0,000 ";;;;;;;;;
23203457;"2251,022 ";"2318,261 ";"2158,011 ";"0,000 ";"0,000 ";;;;;;;;;
23214372;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23290171;"4527,612 ";"3376,861 ";"3231,101 ";"0,000 ";"0,000 ";;;;;;;;;
23821492;"4286,236 ";"7347,112 ";"10792,607 ";"0,000 ";"0,000 ";;;;;;;;;
23236277;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23615692;"9587,302 ";"4881,183 ";"4115,270 ";"0,000 ";"0,000 ";;;;;;;;;
23614832;"6767,960 ";"4743,282 ";"4066,794 ";"0,000 ";"0,000 ";;;;;;;;;
23629803;"1581,996 ";"1094,162 ";"991,797 ";"0,000 ";"0,000 ";;;;;;;;;
23606568;"1099,988 ";"653,673 ";"740,737 ";"0,000 ";"0,000 ";;;;;;;;;
23221565;"1138,585 ";"617,196 ";"550,086 ";"0,000 ";"0,000 ";;;;;;;;;
23293419;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23659193;"4701,948 ";"3301,970 ";"3089,209 ";"0,000 ";"0,000 ";;;;;;;;;
23677670;"6412,682 ";"5249,187 ";"5400,992 ";"0,000 ";"0,000 ";;;;;;;;;
23291940;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23208702;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23610714;"4833,703 ";"2493,937 ";"2871,895 ";"0,000 ";"0,000 ";;;;;;;;;
23685510;"15761,369 ";"8986,928 ";"12724,984 ";"0,000 ";"0,000 ";;;;;;;;;
700148989;"16222,198 ";"8150,808 ";"8587,651 ";"0,000 ";"0,000 ";;;;;;;;;
700354936;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23842387;"133,861 ";"76,093 ";"48,451 ";"0,000 ";"0,000 ";;;;;;;;;
23655567;"4405,427 ";"2338,482 ";"1698,369 ";"0,000 ";"0,000 ";;;;;;;;;
23982393;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23212696;"2827,076 ";"1967,749 ";"1312,564 ";"0,000 ";"0,000 ";;;;;;;;;
23844366;"3931,590 ";"1812,514 ";"2498,890 ";"0,000 ";"0,000 ";;;;;;;;;
23280307;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23288403;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23227812;"5512,527 ";"3718,524 ";"5759,627 ";"0,000 ";"0,000 ";;;;;;;;;
23104343;"279,244 ";"128,674 ";"192,029 ";"0,000 ";"0,000 ";;;;;;;;;
23623916;"2134,443 ";"1252,647 ";"1273,361 ";"0,000 ";"0,000 ";;;;;;;;;
22011348;"12810,388 ";"7509,829 ";"5542,202 ";"0,000 ";"0,000 ";;;;;;;;;
23610313;"218,545 ";"155,337 ";"116,590 ";"0,000 ";"0,000 ";;;;;;;;;
23236906;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23900885;"260,890 ";"201,604 ";"227,538 ";"0,000 ";"0,000 ";;;;;;;;;
23840525;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23232568;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23604845;"577,653 ";"302,749 ";"288,418 ";"0,000 ";"0,000 ";;;;;;;;;
23600299;"26390,060 ";"6396,155 ";"2397,789 ";"0,000 ";"0,000 ";;;;;;;;;
23234301;"5807,124 ";"3476,197 ";"3676,096 ";"0,000 ";"0,000 ";;;;;;;;;
23976294;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700469526;"261,068 ";"171,397 ";"110,509 ";"0,000 ";"0,000 ";;;;;;;;;
700367302;"2576,577 ";"2432,062 ";"1487,964 ";"0,000 ";"0,000 ";;;;;;;;;
23846093;"1894,253 ";"876,612 ";"1406,780 ";"0,000 ";"0,000 ";;;;;;;;;
23101098;"363,047 ";"176,498 ";"281,160 ";"0,000 ";"0,000 ";;;;;;;;;
23648277;"1001,609 ";"551,289 ";"604,976 ";"0,000 ";"0,000 ";;;;;;;;;
23600179;"184,305 ";"91,589 ";"69,943 ";"0,000 ";"0,000 ";;;;;;;;;
23842088;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
22007077;"5840,741 ";"3569,413 ";"3189,261 ";"0,000 ";"0,000 ";;;;;;;;;
23219681;"8952,182 ";"5483,456 ";"4798,363 ";"0,000 ";"0,000 ";;;;;;;;;
700397223;"2014,947 ";"1250,018 ";"1330,375 ";"0,000 ";"0,000 ";;;;;;;;;
23002610;"10017,944 ";"10278,497 ";"3890,685 ";"0,000 ";"0,000 ";;;;;;;;;
23232246;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23614934;"6613,785 ";"4144,224 ";"3458,369 ";"0,000 ";"0,000 ";;;;;;;;;
23614354;"3543,198 ";"1899,467 ";"2447,584 ";"0,000 ";"0,000 ";;;;;;;;;
23829447;"9706,939 ";"5025,924 ";"4492,364 ";"0,000 ";"0,000 ";;;;;;;;;
23825427;"12506,095 ";"7856,536 ";"8653,620 ";"0,000 ";"0,000 ";;;;;;;;;
23981666;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23232913;"5661,546 ";"3323,659 ";"2665,012 ";"0,000 ";"0,000 ";;;;;;;;;
23696120;"2756,043 ";"1374,105 ";"1514,927 ";"0,000 ";"0,000 ";;;;;;;;;
23236432;"4498,624 ";"3393,991 ";"3329,086 ";"0,000 ";"0,000 ";;;;;;;;;
23607766;"10628,876 ";"4982,639 ";"4043,825 ";"0,000 ";"0,000 ";;;;;;;;;
23288972;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23841859;"996,690 ";"689,983 ";"1090,375 ";"0,000 ";"0,000 ";;;;;;;;;
23686062;"457,723 ";"401,572 ";"486,284 ";"0,000 ";"0,000 ";;;;;;;;;
23207629;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23850894;"3159,048 ";"2015,626 ";"2473,467 ";"0,000 ";"0,000 ";;;;;;;;;
23200348;"5586,946 ";"4268,088 ";"3743,689 ";"0,000 ";"0,000 ";;;;;;;;;
23227958;"5070,843 ";"4553,481 ";"3305,951 ";"0,000 ";"0,000 ";;;;;;;;;
23841389;"7970,194 ";"5222,477 ";"5053,451 ";"0,000 ";"0,000 ";;;;;;;;;
23627705;"3787,202 ";"1980,954 ";"2522,632 ";"0,000 ";"0,000 ";;;;;;;;;
23234137;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700454521;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23600507;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700161711;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23198951;"1408,708 ";"735,022 ";"1007,017 ";"0,000 ";"0,000 ";;;;;;;;;
23647305;"1384,238 ";"767,231 ";"1095,807 ";"0,000 ";"0,000 ";;;;;;;;;
23238570;"2989,096 ";"1777,978 ";"2472,960 ";"0,000 ";"0,000 ";;;;;;;;;
23100610;"850,235 ";"590,376 ";"591,525 ";"0,000 ";"0,000 ";;;;;;;;;
23656202;"6102,783 ";"3472,271 ";"4329,714 ";"0,000 ";"0,000 ";;;;;;;;;
700461182;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23209743;"1667,549 ";"983,031 ";"857,015 ";"0,000 ";"0,000 ";;;;;;;;;
23198868;"1170,181 ";"760,138 ";"929,650 ";"0,000 ";"0,000 ";;;;;;;;;
700402124;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23705534;"12209,288 ";"7814,998 ";"9616,494 ";"0,000 ";"0,000 ";;;;;;;;;
23205816;"0,476 ";"0,230 ";"0,041 ";"0,000 ";"0,000 ";;;;;;;;;
23646312;"3194,106 ";"1873,689 ";"1621,477 ";"0,000 ";"0,000 ";;;;;;;;;
23602254;"13817,183 ";"10281,335 ";"21983,626 ";"0,000 ";"0,000 ";;;;;;;;;
700553981;"13,461 ";"4,424 ";"5,903 ";"0,000 ";"0,000 ";;;;;;;;;
